track_id,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,type,valence,song_uri
2PTvM4E7vKBfS6BQ5rOhjp,0.438,0.924,0.877,0.0885,-5.366,0.039,154.946,audio_features,0.2,spotify:track:2PTvM4E7vKBfS6BQ5rOhjp
2mmbc72f2GyTxVuZPYbaRV,0.484,0.358,0.857,0.142,-7.273,0.0337,51.766,audio_features,0.2,spotify:track:2mmbc72f2GyTxVuZPYbaRV
68AdzgpzDTNiy7kORzY0jz,0.433,0.975,0.84,0.0915,-5.201,0.104,199.992,audio_features,0.269,spotify:track:68AdzgpzDTNiy7kORzY0jz
57Cb5IWpLAVDL2Xyy9uaFb,0.501,0.953,0.835,0.0788,-5.436,0.0516,95.006,audio_features,0.234,spotify:track:57Cb5IWpLAVDL2Xyy9uaFb
1ZfnGTUnha3QHj3KFmub0W,0.399,0.94,0.815,0.348,-6.686,0.0915,154.999,audio_features,0.132,spotify:track:1ZfnGTUnha3QHj3KFmub0W
2jCXj0T4qUGmLclOQTSKed,0.158,0.951,0.885,0.408,-6.008,0.0958,180.126,audio_features,0.108,spotify:track:2jCXj0T4qUGmLclOQTSKed
4UnHhV70A2nwlmtpmNZqaf,0.443,0.816,0.854,0.267,-7.851,0.0439,110.107,audio_features,0.0933,spotify:track:4UnHhV70A2nwlmtpmNZqaf
1xRloL4YOvq7HatNJOh5pk,0.523,0.283,0.908,0.108,-13.4,0.0761,98.759,audio_features,0.0912,spotify:track:1xRloL4YOvq7HatNJOh5pk
6XnjQ9NtfWjfnQjbwjDz4V,0.305,0.95,0.753,0.291,-5.113,0.104,112.865,audio_features,0.2,spotify:track:6XnjQ9NtfWjfnQjbwjDz4V
4i3fHA0aGUKUZEbJ5b3RqE,0.379,0.995,0.704,0.119,-3.027,0.125,169.962,audio_features,0.157,spotify:track:4i3fHA0aGUKUZEbJ5b3RqE
741DrOmeWphVKdoph4LtME,0.277,0.926,0.00486,0.634,-5.177,0.147,115.105,audio_features,0.0947,spotify:track:741DrOmeWphVKdoph4LtME
2UG11CGTkGRZm2JON8wP1x,0.294,0.993,0.0074,0.363,-4.027,0.209,93.832,audio_features,0.0542,spotify:track:2UG11CGTkGRZm2JON8wP1x
6kbTLFIM8DTvw14IaEFUKW,0.437,0.97,0.00161,0.704,-3.804,0.0953,135.026,audio_features,0.195,spotify:track:6kbTLFIM8DTvw14IaEFUKW
4josXRiTfWWK71GSYBP3gU,0.449,0.963,0.0579,0.553,-4.525,0.138,125.091,audio_features,0.121,spotify:track:4josXRiTfWWK71GSYBP3gU
2qOEdZVHDMHoqXaIwAUSN3,0.348,0.977,0.0546,0.517,-3.848,0.0973,89.711,audio_features,0.176,spotify:track:2qOEdZVHDMHoqXaIwAUSN3
539WpLRDni04o7Wu9ptd1s,0.408,0.957,0.00264,0.713,-4.425,0.124,106.454,audio_features,0.146,spotify:track:539WpLRDni04o7Wu9ptd1s
2zaKi3uxNfRWOM8JcPXHle,0.335,0.953,0.000339,0.358,-4.453,0.112,169.94,audio_features,0.309,spotify:track:2zaKi3uxNfRWOM8JcPXHle
7F9NqdJZpz7onjELNUop08,0.476,0.934,0.126,0.592,-4.324,0.0772,112.888,audio_features,0.342,spotify:track:7F9NqdJZpz7onjELNUop08
2YtaFr7ZNaAWimZLcElqxr,0.318,0.97,0.132,0.671,-5.415,0.288,125.02,audio_features,0.0413,spotify:track:2YtaFr7ZNaAWimZLcElqxr
6SqPIN0OXmzjdgiXEeDsoe,0.451,0.855,0.0114,0.537,-4.77,0.0645,135.042,audio_features,0.236,spotify:track:6SqPIN0OXmzjdgiXEeDsoe
5vNyiA6lRDLpCN58ZCQcIt,0.277,0.91,0.000716,0.342,-5.723,0.117,118.375,audio_features,0.112,spotify:track:5vNyiA6lRDLpCN58ZCQcIt
76ZcAxDSaB8UIcY3cfC1zv,0.492,0.982,0.0108,0.392,-5.251,0.147,124.94,audio_features,0.0877,spotify:track:76ZcAxDSaB8UIcY3cfC1zv
3SmbCDDy1cP7KOcaRUdpNZ,0.299,0.914,4.75e-06,0.28,-5.069,0.219,88.585,audio_features,0.195,spotify:track:3SmbCDDy1cP7KOcaRUdpNZ
4ezBCuMm1YfzFIrrwfIQrz,0.517,0.971,3.75e-05,0.325,-5.189,0.0778,135.004,audio_features,0.363,spotify:track:4ezBCuMm1YfzFIrrwfIQrz
0HVSxBoFC0v5mPJZ4hmE4L,0.187,0.933,3.73e-05,0.158,-5.889,0.125,84.92,audio_features,0.353,spotify:track:0HVSxBoFC0v5mPJZ4hmE4L
1R3snXKX8ctPqT1OCSgfmF,0.543,0.962,0.0,0.161,-5.034,0.0882,125.018,audio_features,0.36,spotify:track:1R3snXKX8ctPqT1OCSgfmF
71gSkGv9iTnd4kILrxObi4,0.199,0.835,5.43e-05,0.257,-6.916,0.0711,180.052,audio_features,0.148,spotify:track:71gSkGv9iTnd4kILrxObi4
28mg55RAsIfj8lOC0sPKKL,0.441,0.983,0.0,0.157,-5.593,0.116,100.091,audio_features,0.0751,spotify:track:28mg55RAsIfj8lOC0sPKKL
2lN6EaTpCQIXtB9uuRUdvI,0.569,0.741,0.000605,0.128,-7.422,0.0371,119.966,audio_features,0.211,spotify:track:2lN6EaTpCQIXtB9uuRUdvI
6Zh6xanNTO9u5IzYbtfkn6,0.536,0.986,0.000809,0.111,-3.947,0.195,110.003,audio_features,0.22,spotify:track:6Zh6xanNTO9u5IzYbtfkn6
7iVlXEc1ZxUJiXoqcWMfg4,0.281,0.976,0.00268,0.0866,-4.649,0.171,105.0,audio_features,0.355,spotify:track:7iVlXEc1ZxUJiXoqcWMfg4
0xaN6B7xNJU9czMXELDyDM,0.417,0.95,0.000518,0.105,-5.78,0.171,106.585,audio_features,0.0676,spotify:track:0xaN6B7xNJU9czMXELDyDM
5AgaXkPMhnsWFT6RXYzQGy,0.472,0.927,1.03e-06,0.137,-5.142,0.0811,102.424,audio_features,0.269,spotify:track:5AgaXkPMhnsWFT6RXYzQGy
3uJ1lFqW0wvjQC9ChaLV52,0.454,0.966,0.0,0.111,-4.41,0.0918,134.965,audio_features,0.241,spotify:track:3uJ1lFqW0wvjQC9ChaLV52
1iN4M5pH8tG3626YgWDKjk,0.487,0.959,3.97e-06,0.174,-4.935,0.12,102.556,audio_features,0.117,spotify:track:1iN4M5pH8tG3626YgWDKjk
5PFuMs8WdLo0EeTIZ6Ynzw,0.196,0.976,0.0,0.115,-4.752,0.389,177.065,audio_features,0.176,spotify:track:5PFuMs8WdLo0EeTIZ6Ynzw
49fTxURuKeFsBJfoK71AaM,0.413,0.922,0.00236,0.0917,-5.593,0.105,89.878,audio_features,0.202,spotify:track:49fTxURuKeFsBJfoK71AaM
5tBiWzvdnrSM7tbDDAWKCT,0.264,0.935,1.33e-05,0.122,-5.907,0.168,168.976,audio_features,0.542,spotify:track:5tBiWzvdnrSM7tbDDAWKCT
